품목명,평균가격,최고가격,최저가격,등급,일자
사과 후지_15,59282.608695652176,68434.78260869565,50130.434782608696,특,200401
사과 후지_5,18726.0,20000.0,17000.0,특,200401
사과 후지_10,25021.0,34000.0,20000.0,상,200401
사과 후지_15,38394.913043478264,49956.52173913043,26739.130434782608,상,200401
사과 후지_5,17000.0,17000.0,17000.0,상,200401
사과 후지_10,17431.0,20000.0,13000.0,중,200401
사과 후지_15,20211.347826086956,26739.130434782608,13739.130434782608,중,200401
사과 후지_5,16048.0,17000.0,15000.0,중,200401
사과 후지_10,11194.0,13000.0,5000.0,하,200401
사과 후지_15,9116.869565217392,13739.130434782608,4478.260869565217,하,200401
사과 후지_5,15000.0,15000.0,15000.0,하,200401
사과 후지_10,38771.0,42000.0,30400.0,특,200402
사과 후지_15,65782.60869565218,77086.95652173914,54478.260869565216,특,200402
사과 후지_5,18726.0,20000.0,17000.0,특,200402
사과 후지_10,26193.0,30400.0,21000.0,상,200402
사과 후지_15,41525.34782608696,54000.0,28956.521739130436,상,200402
사과 후지_5,17000.0,17000.0,17000.0,상,200402
사과 후지_10,16237.0,21000.0,13000.0,중,200402
사과 후지_15,22493.956521739132,28956.521739130436,16086.95652173913,중,200402
사과 후지_5,16048.0,17000.0,15000.0,중,200402
사과 후지_10,11132.0,13000.0,7000.0,하,200402
사과 후지_15,10573.391304347826,16000.0,5130.434782608696,하,200402
사과 후지_5,15000.0,15000.0,15000.0,하,200402
사과 후지_10,35039.0,41000.0,32000.0,특,200403
사과 후지_15,76961.53846153847,87653.84615384616,66269.23076923077,특,200403
사과 후지_5,18726.0,20000.0,17000.0,특,200403
사과 후지_10,25341.0,32000.0,21000.0,상,200403
사과 후지_15,52791.653846153844,65153.846153846156,40346.153846153844,상,200403
사과 후지_5,17000.0,17000.0,17000.0,상,200403
사과 후지_10,16852.0,21000.0,13000.0,중,200403
사과 후지_15,31648.5,40192.307692307695,23153.846153846152,중,200403
사과 후지_5,16048.0,17000.0,15000.0,중,200403
사과 후지_10,10930.0,13000.0,6000.0,하,200403
사과 후지_15,15141.846153846154,23153.846153846152,7115.384615384615,하,200403
사과 후지_5,15000.0,15000.0,15000.0,하,200403
사과 후지_10,32800.0,32800.0,32800.0,특,200404
사과 후지_15,84350.0,99820.0,68880.0,특,200404
사과 후지_5,18726.0,20000.0,17000.0,특,200404
사과 후지_10,28731.0,32800.0,19000.0,상,200404
사과 후지_15,55463.32,68080.0,42760.0,상,200404
사과 후지_5,17000.0,17000.0,17000.0,상,200404
사과 후지_10,13750.0,19000.0,4000.0,중,200404
사과 후지_15,34234.44,43560.0,24960.0,중,200404
사과 후지_5,16048.0,17000.0,15000.0,중,200404
사과 후지_10,4000.0,4000.0,4000.0,하,200404
사과 후지_15,16147.52,24960.0,7320.0,하,200404
사과 후지_5,15000.0,15000.0,15000.0,하,200404
사과 후지_15,84895.83333333333,95583.33333333333,74208.33333333333,특,200405
사과 후지_15,57729.166666666664,71583.33333333333,43875.0,상,200405
사과 후지_15,34729.166666666664,43541.666666666664,25916.666666666668,중,200405
사과 후지_15,17250.0,25541.666666666668,8958.333333333334,하,200405
사과 후지_10,48000.0,48000.0,48000.0,특,200406
사과 후지_15,81037.03703703704,92518.51851851853,69555.55555555556,특,200406
사과 후지_5,18726.0,20000.0,17000.0,특,200406
사과 후지_10,29898.0,48000.0,24000.0,상,200406
사과 후지_15,53225.2962962963,65925.92592592593,40444.444444444445,상,200406
사과 후지_5,17000.0,17000.0,17000.0,상,200406
사과 후지_10,17965.0,24000.0,13000.0,중,200406
사과 후지_15,30754.11111111111,39962.96296296296,21592.59259259259,중,200406
