품목명,등급,월,평균가격,최고가격,최저가격,계절지수
사과 아오리_10,하,11,20528.0,28333.333333333332,7666.666666666667,0.30191838935381365
사과 아오리_10,하,12,18376.5,23000.0,9250.0,0.2702749065647095
사과 아오리_15,상,07,43336.03277116402,51763.64596052096,37077.32944139194,0.12879248139577237
사과 아오리_15,상,08,33929.323752840355,42016.928555774706,28242.646804387696,0.10083622147148966
사과 아오리_15,상,09,27403.65322937222,31370.970568221204,24017.02700184158,0.08144226116306119
사과 아오리_15,상,10,28557.0,30000.0,26000.0,0.08486994900157034
사과 아오리_15,중,07,30669.682744454618,36945.302324989825,23726.4652014652,0.0982687578286813
사과 아오리_15,중,08,23341.353114871334,28233.990218808034,18093.032688559008,0.07478805032809659
사과 아오리_15,중,09,20371.255474438178,23951.863904069785,16266.644037264243,0.06527155783004372
사과 아오리_15,특,07,58409.5371515059,71018.99038461539,52191.52294464794,0.09799577123789334
사과 아오리_15,특,08,49922.91832796982,66040.50390440269,42173.32393277738,0.0837574670606619
사과 아오리_15,특,09,33708.60232844025,36957.44824229479,31403.456801794397,0.05655412871974425
사과 아오리_15,하,07,17955.879442663816,23599.061355311354,8466.093050468051,0.09633340052201417
사과 아오리_15,하,08,13575.067534516766,18084.376102979342,5695.462599628591,0.07283031845317336
사과 아오리_15,하,09,12864.062719746862,16228.049479647945,7605.481315359832,0.06901577337265971
사과 양광_10,상,02,34951.0,39000.0,34000.0,0.26403465815302357
사과 양광_10,상,03,34951.0,39000.0,34000.0,0.26403465815302357
사과 양광_10,상,04,34951.0,39000.0,34000.0,0.26403465815302357
사과 양광_10,상,05,44805.0,52000.0,40000.0,0.33847594799994907
사과 양광_10,상,06,55412.5,62500.0,51000.0,0.4186094960059631
사과 양광_10,상,07,54464.5,63500.0,49500.0,0.4114479024627436
사과 양광_10,상,08,65447.0,75000.0,58000.0,0.4944143593070565
사과 양광_10,상,09,40764.667027417025,47522.34802234802,35581.90883190883,0.30795356136608065
사과 양광_10,상,10,34262.90493775548,38330.67564721913,31445.43410132541,0.2588364965972307
사과 양광_10,상,11,25907.779411764706,27931.72268907563,24340.33613445378,0.19571833940342864
사과 양광_10,상,12,42785.5,47000.0,40000.0,0.32321978960276354
사과 양광_10,중,02,28219.0,34000.0,23000.0,0.2769027741589263
사과 양광_10,중,03,28219.0,34000.0,23000.0,0.2769027741589263
사과 양광_10,중,04,28219.0,34000.0,23000.0,0.2769027741589263
사과 양광_10,중,05,33823.5,40000.0,28000.0,0.3318976923974784
사과 양광_10,중,06,42352.5,51000.0,32000.0,0.4155896645014326
사과 양광_10,중,07,42039.0,49500.0,34000.0,0.4125134031279316
사과 양광_10,중,08,50856.0,58000.0,40000.0,0.49903141438840337
사과 양광_10,중,09,29045.19364894365,35486.67073667074,21704.887704887704,0.28500991166858225
사과 양광_10,중,10,26983.637714542303,31285.28452867583,21522.933667781494,0.2647806137728549
사과 양광_10,중,11,21086.779411764706,24340.33613445378,17054.621848739498,0.20691688993922458
사과 양광_10,중,12,35105.0,40000.0,29000.0,0.34447258538038583
사과 양광_10,특,02,39000.0,39000.0,39000.0,0.24730365260226972
사과 양광_10,특,03,39000.0,39000.0,39000.0,0.24730365260226972
사과 양광_10,특,04,39000.0,39000.0,39000.0,0.24730365260226972
사과 양광_10,특,05,56186.0,57500.0,53000.0,0.35628212884900323
사과 양광_10,특,06,67824.0,79500.0,62500.0,0.43008007523323954
사과 양광_10,특,07,66389.5,74500.0,63500.0,0.42098373960098423
사과 양광_10,특,08,82837.0,96000.0,75000.0,0.5252792992465184
사과 양광_10,특,09,50073.732739482744,54528.83227883228,47773.929773929776,0.3175235129718959
사과 양광_10,특,10,41077.27321466617,45199.262417936334,38481.81239935588,0.26047588986995696
사과 양광_10,특,11,28002.17016806723,28439.0756302521,27931.72268907563,0.17756510162444458
사과 양광_10,특,12,48311.0,53000.0,47000.0,0.30634581438123726
사과 양광_10,하,02,18537.0,23000.0,8000.0,0.29398606242104225
사과 양광_10,하,03,18537.0,23000.0,8000.0,0.29398606242104225
사과 양광_10,하,04,18537.0,23000.0,8000.0,0.29398606242104225
사과 양광_10,하,05,21339.0,28000.0,10000.0,0.3384241563361181
사과 양광_10,하,06,25066.0,32000.0,9500.0,0.39753221344585665
사과 양광_10,하,07,26791.0,34000.0,10500.0,0.4248897123764441
사과 양광_10,하,08,32344.0,40000.0,13000.0,0.5129570698034305
사과 양광_10,하,09,17000.981037481037,21528.75827875828,9448.056573056574,0.26962569307352086
사과 양광_10,하,10,16893.96438288121,21490.113619472315,7873.18456583674,0.2679284710365529
사과 양광_10,하,11,13031.947478991597,17054.621848739498,7073.529411764705,0.20667912418549755
사과 양광_10,하,12,23037.5,29000.0,9500.0,0.365361380645453
사과 양광_15,상,09,41296.50360750361,47490.76479076479,35824.09812409812,0.0925904179221376
사과 양광_15,상,10,41728.75105682067,47162.558026019564,37559.81660789353,0.09355955497931868
